氛 氛 氛
分 分 汾
纷 紛 妢
坟 墳 墳
焚 焚 焚
汾 汾 汾
粉 粉 帉
奋 奮 奮
份 份 妢
忿 忿 忿
愤 憤 濆
粪 糞 粪
丰 豐 仹
封 封 崶
枫 楓 猦
蜂 蜂 蜂
峰 峰 峯
锋 鋒 峯
风 風 颩
疯 瘋 瘋
烽 烽 烽
逢 逢 漨
冯 馮 溤
缝 縫 漨
讽 諷 讽
奉 奉 唪
凤 鳳 鳯
佛 佛 仏
否 否 娝
夫 夫 玞
敷 敷 敷
肤 膚 膚
孵 孵 孵
扶 扶 荴
拂 拂 拂
辐 輻 辐
幅 幅 諨
氟 氟 氟
符 符 苻
伏 伏 茯
俘 俘 俘
服 服 棴
浮 浮 捊
涪 涪 涪
福 福 湢
袱 袱 袱
弗 弗 弗
甫 甫 甫
抚 撫 抚
辅 輔 辅
俯 俯 椨
釜 釜 釜
斧 斧 釡
脯 脯 脯
腑 腑 腑
府 府 椨
腐 腐 腐
赴 赴 赴
副 副 諨
覆 覆 覆
赋 賦 賦
复 複 復
傅 傅 傅
付 付 苻
阜 阜 阜
父 父 父
腹 腹 腹
负 負 萯
富 富 冨
讣 訃 讣
附 附 胕
妇 婦 妇
缚 縛 缚
咐 咐 咐
噶 噶 噶
嘎 嘎 嗄
该 該 姟
改 改 妀
概 概 漑
钙 鈣 鈣
盖 蓋 葢
溉 溉 漑
干 幹 迀
甘 甘 苷
杆 杆 杆
柑 柑 柑
竿 竿 芉
肝 肝 肝
赶 趕 迀
感 感 憾
秆 稈 秆
敢 敢 噉
赣 贛 赣
冈 岡 罓
刚 剛 碙
钢 鋼 鋼
缸 缸 矼
肛 肛 釭
纲 綱 罁
岗 崗 罓
港 港 港
杠 杠 釭
篙 篙 禞
皋 臯 皋
高 高 滈
膏 膏 膏
羔 羔 餻
糕 糕 溔
搞 搞 鎬
镐 鎬 鎬
稿 稿 鎬
告 告 哠
哥 哥 滒
歌 歌 戨
搁 擱 擱
戈 戈 戈
鸽 鴿 鸽
胳 胳 胳
疙 疙 疙
割 割 剨
革 革 愅
葛 葛 噶
格 格 咯
蛤 蛤 蛤
阁 閣 阁
隔 隔 隔
铬 鉻 铬
个 個 個
各 各 茖
给 給 给
根 根 艮
跟 跟 茛
耕 耕 畊
更 更 浭
庚 庚 菮
羹 羹 羹
埂 埂 埂
耿 耿 耿
梗 梗 梗
工 工 笁
攻 攻 糼
功 功 糼
恭 恭 塨
龚 龔 龚
供 供 栱
躬 躬 匑
公 公 厷
宫 宮 営
弓 弓 弖
巩 鞏 巩
汞 汞 汞
拱 拱 珙
贡 貢 貢
共 共 珙
钩 鈎 溝
勾 勾 芶
沟 溝 芶
苟 苟 苟
狗 狗 豞
垢 垢 垢
构 構 媾
购 購 媾
够 夠 夠
辜 辜 辜
菇 菇 菇
咕 咕 咕
箍 箍 箍
估 估 诂
沽 沽 钴
孤 孤 箛
姑 姑 菇
鼓 鼓 鼔
古 古 咕
蛊 蠱 蛊
骨 骨 嗗
谷 谷 唂
股 股 骰
故 故 诂
顾 顧 顧
固 固 凅
雇 雇 雇
刮 刮 剮
瓜 瓜 呱
剐 剮 剮
寡 寡 寡
挂 挂 啩
褂 褂 啩
乖 乖 乖
拐 拐 枴
怪 怪 怪
棺 棺 菅
关 關 関
官 官 菅
冠 冠 蒄
观 觀 觀
管 管 涫
馆 館 菅
罐 罐 潅
惯 慣 遦
灌 灌 潅
贯 貫 遦
光 光 洸
广 廣 広
逛 逛 迋
瑰 瑰 瑰
规 規 規
圭 圭 圭
硅 矽 硅
归 歸 歸
龟 龜 亀
闺 閨 閨
轨 軌 匦
鬼 鬼 媿
诡 詭 詭
癸 癸 癸
桂 桂 蓕
柜 櫃 匱
跪 跪 蛫
贵 貴 貴
刽 劊 刽
辊 輥 辊
滚 滾 蔉
棍 棍 輥
锅 鍋 煱
郭 郭 漷
国 國 國
果 果 淉
裹 裹 裹
过 過 過
哈 哈 铪
骸 骸 骸
孩 孩 陔
海 海 嗨
氦 氦 氦
亥 亥 亥
害 害 嗐
骇 駭 骇
酣 酣 酣
憨 憨 憨
邯 邯 邯
韩 韓 韓
含 含 浛
涵 涵 凾
寒 寒 寒
函 函 凾
喊 喊 諴
罕 罕 癷
翰 翰 翰
撼 撼 撼
捍 捍 捍
旱 旱 猂
憾 憾 憾
悍 悍 悍
焊 焊 猂
汗 汗 汙
汉 漢 漢
夯 夯 夯
杭 杭 忼
航 航 航
壕 壕 壕
嚎 嚎 嚎
豪 豪 濠
毫 毫 毫
郝 郝 郝
好 好 恏
耗 耗 秏
号 號 呺
浩 浩 滘
呵 呵 哬
喝 喝 曷
荷 荷 嗬
菏 菏 菏
核 核 劾
禾 禾 秝
和 和 啝
何 何 哬
合 合 匼
盒 盒 盉
貉 貉 貉
阂 閡 阂
河 河 菏
涸 涸 涸
赫 赫 赫
褐 褐 褐
鹤 鶴 鹤
贺 賀 哿
嘿 嘿 潶
黑 黑 嫼
痕 痕 痕
很 很 佷
狠 狠 哏
恨 恨 悢
哼 哼 涥
亨 亨 悙
横 橫 橫
衡 衡 蘅
恒 恒 恆
轰 轟 轟
哄 哄 晎
烘 烘 烘
虹 虹 渱
鸿 鴻 鴻
洪 洪 葓
宏 宏 宖
弘 弘 宖
红 紅 葒
喉 喉 糇
侯 侯 糇
猴 猴 糇
吼 吼 犼
厚 厚 厚
候 候 糇
后 後 後
呼 呼 苸
乎 乎 苸
忽 忽 唿
瑚 瑚 瑚
壶 壺 壺
葫 葫 煳
胡 胡 箶
蝴 蝴 箶
狐 狐 狐
糊 糊 煳
湖 湖 煳
弧 弧 弧
虎 虎 唬
唬 唬 唬
护 護 戶
互 互 沍
沪 滬 戶
户 戶 戶
花 花 埖
哗 嘩 蕐
华 華 澕
猾 猾 磆
滑 滑 磆
画 畫 畵
划 劃 劃
化 化 囮
话 話 話
槐 槐 槐
徊 徊 佪
怀 懷 懷
淮 淮 准
坏 壞 壞
欢 歡 歡
环 環 寰
桓 桓 桓
还 還 還
缓 緩 緩
换 換 換
患 患 漶
唤 喚 喚
痪 瘓 痪
豢 豢 豢
焕 煥 焕
涣 渙 涣
宦 宦 宦
幻 幻 抝
荒 荒 巟
慌 慌 巟
黄 黃 曂
磺 磺 磺
蝗 蝗 蝗
簧 簧 簧
皇 皇 瑝
凰 凰 瑝
